DrubBank ID A,Name A,DrugBankID B,Name B,Is Directed Interaction (Drug A interacts with Drug B),drugA  drugB effect,drugB drugA effect,Description,resulting condition,PMID,DOI,Reference
DB01323,St. John's Wort,DB00091,Cyclosporine,Y,DDI_00051,DDI_00055,We present a case of a probable drug interaction between St. John’s wort (Hypericum perforatum) and cyclosporine in a patient with a combined kidney and pancreas transplant. This patient presented with significantly subtherapeutic cyclosporine concentrations soon after beginning a self prescribed regimen of St. John’s wort; she subsequently developed acute cellular rejection of the transplanted organs.,DDI_00054,10981246
DB01323,St. John's Wort,DB00091,Cyclosporine,Y,DDI_00051,DDI_00055,"Cyclosporine, a widely used immunosuppressant for transplantation, is a substrate of P-gp and CYP3A4. Therefore, the induction of CYP3A4 and P-gp by SJW may reduce the plasma level of cyclosporine, leading to rejection of a transplanted organ.",DDI_00054,22139684
DB01323,St. John's Wort,DB00864,Tacrolimus,Y,DDI_00051,DDI_00055,"studies suggest that SJW may induce CYP3A4 and P-gp in a clinically relevant manner, thereby re- ducing the efficacy of co-medications. Drugs that are likely to interact include the immunosuppressants cy- closporine and tacrolimus, the HIV protease inhibitor indinavir, the HIV reverse transcriptase inhibitor ne- virapine, the antineoplastic drugs irinotecan, imatinib mesylate, the benzodiazepines alprazolam, midazolam, and quazepam, amitriptylline, digoxin, fenoxfenadine, methadone, simvastatin, omeprazole, theophylline, ve- rapamil, and warfarin.",DDI_00054,22139684
DB01323,St. John's Wort,DB00224,Indinavir,Y,DDI_00051,DDI_00055,"studies suggest that SJW may induce CYP3A4 and P-gp in a clinically relevant manner, thereby re- ducing the efficacy of co-medications. Drugs that are likely to interact include the immunosuppressants cy- closporine and tacrolimus, the HIV protease inhibitor indinavir, the HIV reverse transcriptase inhibitor ne- virapine, the antineoplastic drugs irinotecan, imatinib mesylate, the benzodiazepines alprazolam, midazolam, and quazepam, amitriptylline, digoxin, fenoxfenadine, methadone, simvastatin, omeprazole, theophylline, ve- rapamil, and warfarin.",DDI_00054,22139684
DB01323,St. John's Wort,DB00238,Nevirapine,Y,DDI_00051,DDI_00055,"studies suggest that SJW may induce CYP3A4 and P-gp in a clinically relevant manner, thereby reducing the efficacy of co-medications. Drugs that are likely to interact include the immunosuppressants cyclosporine and tacrolimus, the HIV protease inhibitor indinavir, the HIV reverse transcriptase inhibitor nevirapine, the antineoplastic drugs irinotecan, imatinib mesylate, the benzodiazepines alprazolam, midazolam, and quazepam, amitriptylline, digoxin, fenoxfenadine, methadone, simvastatin, omeprazole, theophylline, verapamil, and warfarin.",DDI_00054,22139684
DB01323,St. John's Wort,DB00762,Irinotecan,Y,DDI_00051,DDI_00055,"studies suggest that SJW may induce CYP3A4 and P-gp in a clinically relevant manner, thereby reducing the efficacy of co-medications. Drugs that are likely to interact include the immunosuppressants cyclosporine and tacrolimus, the HIV protease inhibitor indinavir, the HIV reverse transcriptase inhibitor nevirapine, the antineoplastic drugs irinotecan, imatinib mesylate, the benzodiazepines alprazolam, midazolam, and quazepam, amitriptylline, digoxin, fenoxfenadine, methadone, simvastatin, omeprazole, theophylline, verapamil, and warfarin.",DDI_00054,22139684
DB01323,St. John's Wort,DB00404,Alprazolam,Y,DDI_00051,DDI_00055,"studies suggest that SJW may induce CYP3A4 and P-gp in a clinically relevant manner, thereby reducing the efficacy of co-medications. Drugs that are likely to interact include the immunosuppressants cyclosporine and tacrolimus, the HIV protease inhibitor indinavir, the HIV reverse transcriptase inhibitor nevirapine, the antineoplastic drugs irinotecan, imatinib mesylate, the benzodiazepines alprazolam, midazolam, and quazepam, amitriptylline, digoxin, fenoxfenadine, methadone, simvastatin, omeprazole, theophylline, verapamil, and warfarin.",DDI_00054,22139684
DB01104,Sertraline,DB00945,Aspirin,Y,DDI_00006,DDI_00006,Concurrent use of an SSRI and NSAID increases the risk of gastrointestinal adverse outcomes such as bleeding,DDI_00007,16945053
DB01323,St. John's Wort,DB00277,Theophylline,Y,DDI_00051,DDI_00055,"A 42-year-old white woman taking an unusually high dose of theophylline (Theo-Dur, 800 mg bid) indicated that prior to a recent hospitaliza- tion she had been stabilized on 300 mg bid for several months. Since discharge, her theophylline concentrations were lower than desired and resulted in dosage in- creases ≤1600 mg/d. This dosage produced a steady-state theophylline concentra- tion of 9.2 µg/mL. During the interview, the patient noted that the only new addi- tion to her medication regimen was 300 mg/d of a St. John’s wort supplement standardized reportedly to 0.3% hypericin, which she began taking approximately two months prior to this evaluation. Her other medications included furosemide, potassium, morphine, zolpidem, valproic acid, ibuprofen, amitriptyline, albuterol, prednisone, zafirlukast, and inhaled triamcinolone acetonide. In addition, she smoked one-half pack of cigarettes per day. Because St. John’s wort was the only agent added since problems arose with her theophylline concentrations, the patient decided on her own to discontinue the St. John’s wort. A theophylline concentra- tion measured seven days later was 19.6 µg/mL, and her dosage was consequently adjusted downward.",DDI_00054,10332544
DB01323,St. John's Wort,DB00091,Cyclosporine,Y,DDI_00051,DDI_00055,"Interaction with the following conventional drugs have been reported: cyclosporin, oral contraceptives, theophylline, phenprocoumon, warfarin, amitriptyline, indinavir, digoxin, nefazodone, sertraline and paroxetine",DDI_00054,11395157
